iter	Passed	Remaining
0	136	136469
1	140	70171
2	144	47994
3	147	36666
4	149	29783
5	151	25084
6	153	21740
7	155	19269
8	157	17308
9	158	15737
10	160	14439
11	161	13330
12	163	12392
13	164	11582
14	165	10868
15	166	10242
16	167	9695
17	168	9207
18	169	8766
19	170	8367
20	171	8008
21	172	7680
22	173	7381
23	174	7098
24	175	6834
25	175	6589
26	176	6361
27	177	6150
28	177	5953
29	178	5779
30	179	5610
31	180	5447
32	180	5292
33	181	5147
34	181	5009
35	182	4878
36	182	4754
37	183	4635
38	183	4523
39	183	4414
40	184	4312
41	184	4215
42	185	4123
43	185	4034
44	186	3948
45	186	3866
46	186	3788
47	187	3713
48	187	3642
49	188	3573
50	188	3507
51	188	3443
52	189	3383
53	189	3324
54	190	3267
55	190	3212
56	190	3159
57	191	3108
58	191	3059
59	192	3011
60	192	2965
61	193	2920
62	193	2879
63	194	2837
64	194	2799
65	195	2761
66	195	2723
67	195	2686
68	196	2650
69	196	2616
70	197	2582
71	197	2548
72	198	2516
73	198	2485
74	199	2454
75	199	2425
76	199	2396
77	200	2367
78	200	2340
79	201	2313
80	201	2286
81	201	2260
82	202	2233
83	202	2208
84	202	2185
85	203	2161
86	203	2138
87	204	2116
88	204	2094
89	205	2073
90	205	2052
91	205	2032
92	206	2012
93	206	1992
94	207	1973
95	207	1954
96	207	1935
97	208	1917
98	208	1900
99	209	1882
100	209	1865
101	210	1849
102	210	1832
103	210	1816
104	211	1800
105	211	1785
106	212	1769
107	212	1754
108	212	1740
109	213	1725
110	213	1711
111	214	1697
112	214	1683
113	214	1670
114	215	1656
115	215	1643
116	215	1630
117	216	1617
118	216	1605
119	217	1592
120	217	1580
121	217	1568
122	218	1556
123	218	1544
124	219	1533
125	219	1522
126	219	1510
127	220	1499
128	220	1489
129	221	1479
130	221	1469
131	221	1459
132	222	1449
133	222	1440
134	223	1430
135	223	1421
136	224	1412
137	224	1402
138	225	1393
139	225	1384
140	225	1375
141	226	1366
142	226	1357
143	226	1348
144	227	1340
145	227	1331
146	228	1323
147	228	1315
148	228	1307
149	229	1299
150	229	1291
151	230	1284
152	230	1276
153	230	1268
154	231	1261
155	231	1253
156	232	1246
157	232	1239
158	233	1232
159	233	1225
160	233	1217
161	234	1210
162	234	1204
